,Unnamed: 0,Age,Married,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges
0,0,77,Yes,,Yes,23.05,Yes,Fiber Optic,30.0,No,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Credit Card,94.0,5438.95,1313.85
1,1,22,Yes,,Yes,29.81,No,Fiber Optic,52.0,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.15,2395.7,745.25
2,2,47,Yes,,Yes,35.46,Yes,Fiber Optic,23.0,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.3,5278.15,1914.84
3,3,30,No,,Yes,9.37,No,DSL,59.0,No,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,59.45,3043.7,487.24
4,4,27,No,,Yes,9.19,No,,,,,,,,,,Month-to-Month,Yes,Bank Withdrawal,20.05,299.3,128.66
5,5,52,Yes,,Yes,36.5,Yes,,,,,,,,,,Two Year,No,Credit Card,24.75,1715.1,2372.5
6,6,54,No,,No,,,DSL,17.0,Yes,No,No,Yes,No,No,No,One Year,Yes,Credit Card,36.05,402.6,0.0
7,7,38,No,Offer B,Yes,41.1,Yes,Fiber Optic,26.0,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,72.8,3249.4,1890.6
8,8,28,Yes,Offer D,Yes,8.74,No,,,,,,,,,,One Year,No,Credit Card,20.75,418.25,148.58
9,9,64,Yes,Offer C,Yes,12.03,No,Fiber Optic,9.0,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,83.85,2674.15,372.93
10,10,44,No,,Yes,37.29,Yes,Cable,20.0,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,62.05,118.3,74.58
11,11,41,Yes,,Yes,5.01,Yes,Fiber Optic,10.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.6,4594.95,205.41
12,12,56,Yes,Offer C,Yes,25.3,No,Cable,28.0,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card,66.4,2019.8,784.3
13,13,36,No,,Yes,26.55,No,Fiber Optic,12.0,No,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,91.65,3954.1,1141.65
14,14,32,Yes,,Yes,25.48,Yes,Fiber Optic,3.0,Yes,No,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,98.2,7015.9,1834.56
15,15,57,No,,Yes,2.58,Yes,,,,,,,,,,One Year,No,Bank Withdrawal,24.9,1334.0,144.48
16,16,39,Yes,Offer A,No,,,DSL,19.0,Yes,Yes,No,No,Yes,No,No,One Year,No,Credit Card,44.8,2983.65,0.0
17,17,33,Yes,Offer A,No,,,DSL,12.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,64.7,4746.05,0.0
18,18,24,No,Offer D,Yes,26.02,No,,,,,,,,,,One Year,No,Mailed Check,19.35,324.8,364.28
19,19,58,No,Offer B,Yes,26.41,No,,,,,,,,,,One Year,Yes,Bank Withdrawal,20.4,854.9,1056.4
20,20,65,No,Offer C,Yes,29.88,No,,,,,,,,,,One Year,No,Credit Card,19.3,504.2,776.88
